,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
15261,22177,22.45,044618.74,+033810.7,10.92,G,44.543429844098
15266,22182 H,25.54,044620.97,+445325.3,11.55,G,39.15426781519186
15269,22185,3.52,044622.36,+191218.9,9.64,G,284.09090909090907
15272,22188,8.19,044623.15,+790905.1,8.46,G,122.1001221001221
15276,22197,1.75,044627.36,+433051.6,9.38,G,571.4285714285714
15282,22208,8.46,044633.75,+143153.9,8.2,G,118.20330969267138
15286,22217,11.31,044639.63,+323754.6,10.15,G,88.41732979664013
15295,22236,4.09,044702.13,+411818.2,7.2,G,244.49877750611248
15298,22239,5.83,044706.66,+100305.9,7.19,G,171.52658662092625
15307,22253,15.74,044726.14,+230303.7,10.69,G,63.53240152477763
15319,22265,19.81,044737.52,+181531.7,8.54,G,50.47955577990914
15320,22271,22.07,044741.73,+260901.6,10.61,G,45.31037607612143
15322,22273,4.34,044743.23,+151127.9,8.88,G,230.41474654377882
15327,22287 H,38.3,044800.22,+564527.1,5.29,G,26.109660574412533
15330,22296,17.29,044805.89,+004032.9,7.49,G,57.8368999421631
15338,22314,5.1,044822.74,+294623.0,7.41,G,196.07843137254903
15358,22334,7.34,044835.65,+244435.5,8.25,G,136.23978201634878
15361,22337,4.68,044838.38,+423538.8,8.42,G,213.67521367521368
15366,22347,11.55,044841.26,+163804.1,7.57,G,86.58008658008657
15369,22350,19.3,044842.07,+210604.0,9.06,G,51.81347150259067
15381,22362,13.31,044851.04,+053241.0,10.57,G,75.13148009015778
15382,22363,8.84,044852.32,+335919.6,8.21,G,113.12217194570135
15394,22380,21.38,044903.47,+183828.8,8.98,G,46.77268475210477
15396,22382,10.71,044905.51,+270041.9,8.06,G,93.37068160597572
15420,22416,2.9,044926.66,+105918.3,9.12,G,344.82758620689657
15432,22428 H,4.57,044933.19,+021206.4,7.77,G,218.8183807439825
15433,22429,13.61,044933.29,+532157.1,8.21,G,73.47538574577517
15448,22449,124.6,044950.14,+065740.5,3.19,G,8.025682182985554
15450,22461,1.97,045003.62,+082428.3,6.85,G,507.61421319796955
15459,*22485,6.37,045013.53,+174206.1,12.66,G,156.98587127158555
15483,22524,19.3,045048.49,+161237.9,7.29,G,51.81347150259067
15486,22527,2.72,045052.00,+281850.8,7.53,G,367.6470588235294
15491,22532,5.21,045055.73,+003435.9,10.13,G,191.93857965451056
15496,22542,4.37,045106.43,+542430.5,8.8,G,228.83295194508008
15498,22544,3.61,045107.82,+522354.9,8.83,G,277.0083102493075
15504,22550 H,20.15,045112.48,+110405.0,6.79,G,49.62779156327544
15513,22559,20.54,045116.78,+325324.8,9.25,G,48.685491723466406
15515,22566,17.14,045123.18,+152600.6,7.9,G,58.343057176196034
15517,22568 H,1.87,045126.31,+155253.5,8.47,G,534.75935828877
15531,22607 H,23.91,045149.92,+133918.7,6.3,G,41.82350480970305
